"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, neutral expression, battle stance"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, running start"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, sliding crouch"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, mid-air jump"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, wall lean"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, commanding gesture"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, hand on hip"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, reaching out"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, wounded but standing"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, back-turned silhouette"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, smiling, victory pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, battle stance"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, guard up"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, attack follow-through"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, charging forward"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, power-up pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, running start"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, sliding crouch"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, mid-air jump"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, wall lean"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, commanding gesture"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, hand on hip"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, reaching out"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, wounded but standing"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, back-turned silhouette"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, laughing, victory pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, battle stance"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, guard up"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, attack follow-through"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, charging forward"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, power-up pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, running start"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, sliding crouch"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, mid-air jump"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, wall lean"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, commanding gesture"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, hand on hip"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, reaching out"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, wounded but standing"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, back-turned silhouette"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, frowning, victory pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, battle stance"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, guard up"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, attack follow-through"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, charging forward"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, power-up pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, running start"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, sliding crouch"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, mid-air jump"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, wall lean"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, commanding gesture"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, hand on hip"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, reaching out"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, wounded but standing"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, back-turned silhouette"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, angry glare, victory pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, battle stance"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, guard up"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, attack follow-through"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, charging forward"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, power-up pose"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, running start"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, sliding crouch"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, mid-air jump"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, wall lean"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, commanding gesture"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, hand on hip"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, reaching out"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, wounded but standing"
"absurdres, masterpiece, high quality, best quality, 1boy, young, male child, two-tone hair, short hair, blonde hair, auburn streaked hair, brown eyes,  white background, plain background, simple background, full body, simple clothes, brown tunic, rugged boots, medievel attire, looking to right, <lora:DisneyStudios_style:1> <lora:Disney_Animation_v5-V7:1>, serious expression, back-turned silhouette"
